,demand,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
0,10.0,48,6,30,56,45,22,96,59,49,91
1,10.0,49,61,27,72,11,27,48,67,22,78
2,10.0,2,9,10,36,20,69,51,70,36,93
3,10.0,12,87,52,57,49,21,63,66,97,86
4,10.0,9,70,22,67,95,12,6,78,19,60
5,10.0,14,95,78,73,41,47,80,5,54,93
6,10.0,98,34,47,13,1,57,82,36,23,77
7,10.0,81,51,23,54,63,16,56,89,70,77
8,10.0,42,81,43,52,19,68,42,33,9,95
9,10.0,16,35,53,28,20,57,50,44,36,12
10,10.0,58,44,31,8,50,95,38,41,40,6
11,10.0,12,15,93,12,84,78,98,35,11,60
12,10.0,49,83,53,83,37,91,11,5,33,9
13,10.0,93,18,85,90,40,98,47,73,60,83
14,10.0,16,62,7,92,33,34,3,21,9,43
15,10.0,3,89,81,80,59,14,34,8,52,96
16,10.0,1,67,21,25,23,71,84,15,19,10
17,10.0,68,19,24,91,8,22,46,95,33,71
18,10.0,1,27,29,81,31,68,66,2,25,66
19,10.0,92,7,5,98,12,22,74,73,59,37
20,10.0,15,44,28,82,52,61,89,68,11,78
21,10.0,79,72,42,59,77,23,22,80,97,85
22,10.0,11,88,71,33,90,14,33,56,9,4
23,10.0,60,60,49,57,12,43,61,2,67,77
24,10.0,12,39,71,86,59,88,58,49,90,54
25,10.0,87,64,69,21,19,71,67,69,77,14
26,10.0,51,5,49,79,9,59,16,63,98,81
27,10.0,37,65,37,32,90,44,16,1,47,79
28,10.0,37,48,66,94,16,90,8,13,77,60
29,10.0,31,35,62,65,52,28,98,16,68,10
30,10.0,76,62,73,36,82,80,13,4,67,15
31,10.0,41,51,87,36,61,79,26,11,89,96
32,10.0,54,61,4,56,59,24,36,24,35,46
33,10.0,68,98,11,21,43,94,85,78,61,32
34,10.0,48,39,60,11,19,83,68,90,60,8
35,10.0,22,60,56,14,50,81,74,88,87,66
36,10.0,90,96,58,34,77,18,41,45,18,18
37,10.0,23,60,79,14,86,65,54,92,74,72
38,10.0,96,41,7,58,34,37,91,79,85,88
39,10.0,32,54,18,84,68,29,16,85,59,87
40,10.0,49,38,42,83,48,16,80,18,28,68
41,10.0,44,18,59,83,93,21,31,4,7,7
42,10.0,44,18,2,27,35,14,8,37,30,82
43,10.0,51,64,9,10,32,62,12,36,89,97
44,10.0,63,76,47,19,6,34,8,35,29,51
45,10.0,13,65,67,7,53,3,56,66,12,73
46,10.0,93,97,28,58,9,88,79,98,85,33
47,10.0,1,32,29,85,74,93,56,32,88,74
48,10.0,45,76,32,42,29,7,91,61,91,5
49,10.0,79,57,74,11,88,24,75,41,42,91
50,10.0,56,75,69,62,26,61,18,9,20,24
51,10.0,19,92,18,65,97,65,81,77,85,86
52,10.0,49,7,27,53,68,66,33,20,16,97
53,10.0,16,56,93,6,94,2,52,93,66,20
54,10.0,26,77,8,20,12,65,58,46,45,17
55,10.0,70,1,34,81,23,89,8,23,83,60
56,10.0,77,4,50,1,72,43,71,90,22,68
57,10.0,3,10,57,98,25,86,96,75,38,40
58,10.0,49,27,87,30,50,45,5,41,93,75
59,10.0,76,32,96,82,11,89,40,77,20,66
60,10.0,14,90,20,11,16,55,51,57,9,2
