,demand,p1,p2,p3,p4,p5
0,10.0,15,55,92,80,59
1,10.0,3,96,58,30,82
2,10.0,41,75,88,70,45
3,10.0,5,34,58,50,10
4,10.0,25,72,55,48,59
5,10.0,3,1,12,20,43
6,10.0,63,2,3,76,1
7,10.0,32,42,53,75,54
8,10.0,84,66,19,56,53
9,10.0,24,6,23,12,24
10,10.0,19,86,33,70,8
11,10.0,80,33,42,65,6
12,10.0,66,45,12,41,82
13,10.0,46,65,48,14,81
14,10.0,23,2,11,51,67
15,10.0,56,30,29,75,17
16,10.0,89,50,23,17,36
17,10.0,53,24,97,84,64
18,10.0,27,6,51,96,77
19,10.0,25,84,18,55,38
20,10.0,69,3,71,4,94
21,10.0,17,68,14,74,84
22,10.0,15,40,50,10,24
23,10.0,69,94,30,85,96
24,10.0,84,33,5,33,30
25,10.0,75,95,84,79,7
26,10.0,50,82,36,62,47
27,10.0,48,7,38,95,98
28,10.0,93,97,52,82,71
29,10.0,62,93,10,44,44
30,10.0,38,86,39,32,1
31,10.0,77,15,91,71,73
32,10.0,98,21,28,96,80
33,10.0,79,52,67,2,14
34,10.0,32,68,93,52,38
35,10.0,87,59,16,58,65
36,10.0,5,62,83,56,84
37,10.0,92,8,81,3,33
38,10.0,27,60,25,72,18
39,10.0,19,33,88,9,13
40,10.0,83,73,12,93,46
41,10.0,8,75,22,57,47
42,10.0,82,74,11,16,43
43,10.0,2,94,96,45,86
44,10.0,35,25,4,83,80
45,10.0,90,64,64,98,29
46,10.0,51,2,64,5,31
47,10.0,97,47,65,40,70
48,10.0,60,16,93,82,95
49,10.0,47,8,36,77,18
50,10.0,55,23,13,43,45
51,10.0,45,29,28,61,68
52,10.0,98,52,34,75,74
53,10.0,42,85,86,42,86
54,10.0,57,63,21,85,81
55,10.0,64,23,30,46,55
56,10.0,42,57,58,90,82
57,10.0,2,88,89,53,43
58,10.0,83,43,18,4,89
59,10.0,78,74,42,6,21
60,10.0,66,18,91,12,6
61,10.0,33,56,51,72,39
62,10.0,48,7,37,39,97
63,10.0,3,27,74,41,60
64,10.0,9,13,18,57,9
65,10.0,9,80,19,2,27
66,10.0,81,86,33,49,1
67,10.0,69,82,98,28,2
68,10.0,85,39,10,98,70
69,10.0,36,30,86,44,57
70,10.0,30,16,61,62,93
71,10.0,57,61,11,76,23
72,10.0,31,17,39,91,83
73,10.0,64,83,35,83,23
74,10.0,7,64,52,39,87
75,10.0,28,60,67,41,31
76,10.0,74,26,77,23,28
77,10.0,53,59,74,98,68
78,10.0,3,82,81,8,39
79,10.0,41,70,97,19,52
80,10.0,48,67,49,6,6
81,10.0,64,81,82,22,85
82,10.0,49,46,35,82,67
83,10.0,96,94,31,34,36
84,10.0,45,86,5,31,59
85,10.0,97,32,20,5,80
86,10.0,38,50,5,18,67
87,10.0,66,8,36,83,5
88,10.0,98,17,51,82,4
89,10.0,34,58,61,15,6
90,10.0,41,15,23,65,24
91,10.0,49,72,72,32,1
92,10.0,48,57,11,54,98
93,10.0,76,64,30,62,88
94,10.0,46,51,20,65,75
95,10.0,50,59,30,69,65
96,10.0,70,88,5,96,48
97,10.0,20,86,8,15,32
98,10.0,8,45,73,45,85
99,10.0,16,69,26,77,83
100,10.0,3,36,42,78,43
101,10.0,21,43,21,63,66
102,10.0,52,73,65,5,81
103,10.0,37,61,72,66,84
104,10.0,4,15,45,77,95
105,10.0,28,38,63,87,13
106,10.0,54,63,46,21,80
107,10.0,57,75,22,53,62
108,10.0,23,92,44,50,46
109,10.0,82,45,72,46,1
110,10.0,3,76,92,31,41
111,10.0,89,21,21,82,43
112,10.0,43,40,60,46,30
113,10.0,22,35,91,52,1
114,10.0,2,73,27,4,52
115,10.0,15,28,85,16,32
116,10.0,72,63,31,96,34
117,10.0,96,16,16,61,62
118,10.0,28,90,38,98,63
119,10.0,97,26,57,41,81
120,10.0,58,29,61,24,3
121,10.0,26,80,90,13,86
122,10.0,20,37,26,54,32
123,10.0,83,4,38,39,89
124,10.0,15,75,25,47,83
125,10.0,71,7,48,68,81
126,10.0,17,53,49,16,15
127,10.0,54,52,37,75,91
128,10.0,21,44,87,60,17
129,10.0,83,86,8,57,88
130,10.0,87,50,76,96,75
131,10.0,64,90,47,64,98
132,10.0,59,72,85,71,93
133,10.0,85,40,70,43,43
134,10.0,88,14,13,23,34
135,10.0,92,20,34,3,96
136,10.0,17,30,10,90,55
137,10.0,37,58,41,10,47
138,10.0,20,50,15,72,26
139,10.0,2,97,50,82,58
140,10.0,45,45,76,64,28
141,10.0,23,23,43,16,45
142,10.0,17,57,57,58,58
143,10.0,25,89,86,9,31
144,10.0,13,90,23,52,40
145,10.0,63,34,40,4,16
146,10.0,11,49,47,31,14
147,10.0,26,81,68,12,15
148,10.0,1,85,58,32,86
149,10.0,49,17,79,86,91
150,10.0,43,71,41,19,17
151,10.0,2,95,57,57,52
152,10.0,13,89,48,17,12
153,10.0,52,37,81,80,53
154,10.0,58,89,86,93,87
155,10.0,29,86,80,49,2
156,10.0,16,58,93,72,27
157,10.0,3,98,29,92,4
158,10.0,1,80,6,33,10
159,10.0,24,80,16,94,13
160,10.0,67,47,70,48,85
161,10.0,64,49,40,20,7
162,10.0,52,85,72,78,45
163,10.0,22,16,77,47,87
164,10.0,19,72,34,8,42
165,10.0,72,33,21,76,73
166,10.0,78,3,28,15,55
167,10.0,72,88,31,69,63
168,10.0,15,38,7,85,91
169,10.0,25,38,68,11,80
170,10.0,8,42,97,42,53
171,10.0,95,16,30,57,74
172,10.0,14,89,70,37,1
173,10.0,51,22,42,8,87
174,10.0,11,57,78,75,31
175,10.0,90,28,11,85,86
176,10.0,91,80,52,63,85
177,10.0,29,57,90,29,67
178,10.0,24,40,70,66,34
179,10.0,34,70,37,93,57
180,10.0,11,24,72,10,3
181,10.0,4,27,61,94,17
182,10.0,73,27,57,42,14
183,10.0,41,93,85,44,86
184,10.0,32,89,53,48,79
185,10.0,49,72,26,25,48
186,10.0,5,13,95,29,54
187,10.0,8,70,32,94,20
188,10.0,95,69,3,35,4
189,10.0,31,10,39,91,55
190,10.0,71,97,76,79,52
191,10.0,32,86,25,81,38
192,10.0,81,81,37,41,20
193,10.0,21,44,18,18,38
194,10.0,8,18,90,52,95
195,10.0,59,34,49,94,34
196,10.0,7,14,17,30,71
197,10.0,8,55,12,70,22
198,10.0,50,33,41,84,83
199,10.0,66,21,10,3,16
200,10.0,84,78,69,51,60
201,10.0,85,82,28,30,73
202,10.0,34,61,41,98,42
203,10.0,58,53,27,65,89
204,10.0,10,26,21,37,46
205,10.0,9,9,96,43,77
206,10.0,21,88,56,22,96
207,10.0,22,53,80,11,49
208,10.0,95,22,63,29,50
209,10.0,43,37,6,32,54
210,10.0,62,85,7,6,54
211,10.0,63,48,88,37,78
212,10.0,33,23,92,79,83
213,10.0,35,21,29,87,41
214,10.0,25,1,74,20,56
215,10.0,45,19,83,97,78
