,Machine,Start,Finish,Duration,job_id
0,0.0,111.0,135.0,24.0,0
1,0.0,0.0,1.0,1.0,1
2,0.0,521.0,578.0,57.0,2
3,0.0,1254.0,1340.0,86.0,3
4,0.0,146.0,181.0,35.0,4
5,0.0,10.0,19.0,9.0,5
6,0.0,1612.0,1667.0,55.0,6
7,0.0,19.0,27.0,8.0,7
8,0.0,2057.0,2150.0,93.0,8
9,0.0,135.0,146.0,11.0,9
10,0.0,41.0,80.0,39.0,10
11,0.0,369.0,379.0,10.0,11
12,0.0,1973.0,2057.0,84.0,12
13,0.0,1045.0,1125.0,80.0,13
14,0.0,847.0,906.0,59.0,14
15,0.0,265.0,302.0,37.0,15
16,0.0,698.0,778.0,80.0,16
17,0.0,778.0,847.0,69.0,17
18,0.0,302.0,315.0,13.0,18
19,0.0,679.0,698.0,19.0,19
20,0.0,654.0,679.0,25.0,20
21,0.0,2223.0,2315.0,92.0,21
22,0.0,1757.0,1802.0,45.0,22
23,0.0,27.0,41.0,14.0,23
24,0.0,2150.0,2223.0,73.0,24
25,0.0,1802.0,1887.0,85.0,25
26,0.0,379.0,454.0,75.0,26
27,0.0,1158.0,1254.0,96.0,27
28,0.0,1125.0,1158.0,33.0,28
29,0.0,248.0,265.0,17.0,29
30,0.0,578.0,654.0,76.0,30
31,0.0,2315.0,2411.0,96.0,31
32,0.0,80.0,84.0,4.0,32
33,0.0,95.0,111.0,16.0,33
34,0.0,1.0,10.0,9.0,34
35,0.0,1478.0,1544.0,66.0,35
36,0.0,999.0,1045.0,46.0,36
37,0.0,1414.0,1478.0,64.0,37
38,0.0,245.0,248.0,3.0,38
39,0.0,906.0,999.0,93.0,39
40,0.0,1340.0,1414.0,74.0,40
41,0.0,454.0,483.0,29.0,41
42,0.0,1544.0,1612.0,68.0,42
43,0.0,483.0,521.0,38.0,43
44,0.0,1887.0,1973.0,86.0,44
45,0.0,1667.0,1757.0,90.0,45
46,0.0,319.0,369.0,50.0,46
47,0.0,84.0,95.0,11.0,47
48,0.0,181.0,245.0,64.0,48
49,0.0,315.0,319.0,4.0,49
50,1.0,391.0,442.0,51.0,0
51,1.0,1.0,58.0,57.0,1
52,1.0,1096.0,1178.0,82.0,2
53,1.0,1756.0,1803.0,47.0,3
54,1.0,521.0,603.0,82.0,4
55,1.0,104.0,118.0,14.0,5
56,1.0,2021.0,2100.0,79.0,6
57,1.0,118.0,175.0,57.0,7
58,1.0,2331.0,2419.0,88.0,8
59,1.0,442.0,521.0,79.0,9
60,1.0,231.0,253.0,22.0,10
61,1.0,935.0,1007.0,72.0,11
62,1.0,2273.0,2331.0,58.0,12
63,1.0,1585.0,1663.0,78.0,13
64,1.0,1458.0,1476.0,18.0,14
65,1.0,675.0,723.0,48.0,15
66,1.0,1348.0,1420.0,72.0,16
67,1.0,1420.0,1458.0,38.0,17
68,1.0,723.0,794.0,71.0,18
69,1.0,1266.0,1348.0,82.0,19
70,1.0,1205.0,1266.0,61.0,20
71,1.0,2514.0,2587.0,73.0,21
72,1.0,2166.0,2216.0,50.0,22
73,1.0,175.0,231.0,56.0,23
74,1.0,2419.0,2514.0,95.0,24
75,1.0,2216.0,2232.0,16.0,25
76,1.0,1007.0,1013.0,6.0,26
77,1.0,1749.0,1756.0,7.0,27
78,1.0,1663.0,1749.0,86.0,28
79,1.0,654.0,675.0,21.0,29
80,1.0,1178.0,1205.0,27.0,30
81,1.0,2587.0,2631.0,44.0,31
82,1.0,253.0,317.0,64.0,32
83,1.0,359.0,391.0,32.0,33
84,1.0,58.0,104.0,46.0,34
85,1.0,1940.0,1977.0,37.0,35
86,1.0,1546.0,1585.0,39.0,36
87,1.0,1844.0,1940.0,96.0,37
88,1.0,610.0,654.0,44.0,38
89,1.0,1476.0,1546.0,70.0,39
90,1.0,1803.0,1844.0,41.0,40
91,1.0,1013.0,1069.0,56.0,41
92,1.0,1977.0,2021.0,44.0,42
93,1.0,1069.0,1096.0,27.0,43
94,1.0,2232.0,2273.0,41.0,44
95,1.0,2100.0,2166.0,66.0,45
96,1.0,848.0,935.0,87.0,46
97,1.0,317.0,359.0,42.0,47
98,1.0,603.0,610.0,7.0,48
99,1.0,794.0,848.0,54.0,49
100,2.0,549.0,557.0,8.0,0
101,2.0,58.0,112.0,54.0,1
102,2.0,1254.0,1269.0,15.0,2
103,2.0,1877.0,1924.0,47.0,3
104,2.0,632.0,705.0,73.0,4
105,2.0,180.0,213.0,33.0,5
106,2.0,2116.0,2189.0,73.0,6
107,2.0,213.0,248.0,35.0,7
108,2.0,2504.0,2549.0,45.0,8
109,2.0,557.0,632.0,75.0,9
110,2.0,333.0,416.0,83.0,10
111,2.0,1147.0,1159.0,12.0,11
112,2.0,2445.0,2504.0,59.0,12
113,2.0,1726.0,1821.0,95.0,13
