,Machine,Start,Finish,Duration,job_id
0,1.0,79.0,145.0,66.0,0
1,1.0,32.0,79.0,47.0,1
2,0.0,0.0,24.0,24.0,2
3,0.0,0.0,0.0,24.0,3
4,0.0,24.0,71.0,47.0,4
5,1.0,0.0,32.0,32.0,5
6,2.0,36.0,96.0,60.0,6
7,2.0,96.0,186.0,90.0,7
8,0.0,71.0,133.0,62.0,8
9,2.0,0.0,36.0,36.0,9
10,4.0,173.0,293.0,120.0,0
11,4.0,86.0,173.0,87.0,1
12,3.0,24.0,63.0,39.0,2
13,0.0,0.0,0.0,39.0,3
14,3.0,71.0,158.0,87.0,4
15,4.0,32.0,86.0,54.0,5
16,5.0,99.0,213.0,114.0,6
17,5.0,213.0,393.0,180.0,7
18,3.0,158.0,275.0,117.0,8
19,5.0,36.0,99.0,63.0,9
20,7.0,293.0,344.0,51.0,0
21,7.0,173.0,211.0,38.0,1
22,6.0,63.0,86.0,23.0,2
23,0.0,0.0,0.0,23.0,3
24,6.0,158.0,196.0,38.0,4
25,7.0,86.0,114.0,28.0,5
26,8.0,213.0,260.0,47.0,6
27,8.0,393.0,463.0,70.0,7
28,6.0,275.0,323.0,48.0,8
29,8.0,99.0,130.0,31.0,9
30,9.0,344.0,354.0,10.0,0
31,9.0,211.0,218.0,7.0,1
32,9.0,86.0,88.0,2.0,2
33,0.0,0.0,0.0,2.0,3
34,9.0,196.0,203.0,7.0,4
35,9.0,114.0,118.0,4.0,5
36,9.0,260.0,269.0,9.0,6
37,9.0,463.0,478.0,15.0,7
38,9.0,323.0,332.0,10.0,8
39,9.0,130.0,134.0,4.0,9
