,DEL_TO_DATE,ORD_WID,ORD_THK,priority,load
0,20160930.0,1800.0,28.0,2.0,3.165 all give
1,20170131.0,2300.0,40.0,4.0,4.333 all give
2,20170630.0,2200.0,30.0,2.0,8.29 all give
3,20170831.0,2200.0,30.0,1.0,4.899 all give
4,0.0,0.0,0.0,0.0,Group total give 20.687
5,20160229.0,2240.0,12.0,3.0,20.322 all give
6,20160430.0,2000.0,20.5,3.0,7.724 all give
7,20161205.0,2000.0,10.0,4.0,18.84 all give
8,20160331.0,2160.0,12.0,3.0,2.7769999999999997 all give
9,0.0,0.0,0.0,0.0,Group total give 49.663
10,20151031.0,2500.0,12.0,1.0,20.0 all give
11,20140531.0,2700.0,15.0,3.0,2.702 all give
12,20151205.0,2850.0,9.0,3.0,1.49 all give
13,20160910.0,2300.0,10.0,3.0,1.3130000000000002 all give
14,20151125.0,2000.0,7.0,3.0,1.22 all give
15,20150730.0,3330.0,12.5,3.0,2.434 all give
16,20150510.0,2000.0,11.5,3.0,3.612 all give
17,20150215.0,2150.0,15.0,3.0,2.911 all give
18,20150523.0,2400.0,15.0,3.0,2.261 all give
19,20141115.0,2500.0,15.5,3.0,1.369 all give
20,20150228.0,3150.0,7.0,3.0,1.817 all give
21,20151031.0,2020.0,12.0,3.0,1.37 all give
22,20151215.000976562,3000.0,10.5,3.0,2.25 all give
23,20151025.0,3000.0,15.0,3.0,4.239 all give
24,0.0,0.0,0.0,0.0,Group total give 48.98799999999999
25,20180310.0,3150.0,14.0,2.0,3.877 all give
26,20180420.0,3820.0,13.0,2.0,8.81 all give
27,20170731.0,2200.0,6.0,3.0,4.144 all give
28,20170710.001953125,3390.0,11.0,2.0,3.674 all give
29,20180320.0,2280.0,12.0,3.0,1.901 all give
30,20180131.0,3030.0,16.0,3.0,1.617 all give
31,20170405.0,1800.0,10.0,3.0,6.78 all give
32,20180310.0,2450.0,10.5,3.0,1.3330000000000002 all give
33,20180723.0,1301.0,11.0,2.0,0.528 all give
34,20170920.0,3260.0,12.0,2.0,2.11 all give
35,20170228.0,3000.0,6.0,3.0,0.848 all give
36,20181031.0,2710.0,10.0,3.0,12.96 all give
37,0.0,0.0,0.0,0.0,Group total give 48.582
38,20161031.001953125,1700.0,8.0,3.0,0.8009999999999999 all give
39,20180831.0,1950.0,7.0,3.0,0.713 all give
40,20160930.0,1500.0,8.0,5.0,1.13 all give
41,20180220.0,1650.0,12.0,3.0,1.2590000000000001 all give
42,20180831.0,1650.0,19.0,4.0,43.503 all give
43,20180110.0,1700.0,9.0,3.0,1.175 all give
44,20181130.0,1670.0,8.0,3.0,1.159 all give
45,0.0,0.0,0.0,0.0,Group total give 49.739999999999995
46,20171031.0,1800.0,14.0,5.0,19.39 all give
47,20161231.0,1800.0,8.0,4.0,30.51 all give
48,0.0,0.0,0.0,0.0,Group total give 49.900000000000006
49,20161130.0,2000.0,18.0,4.0,3.9560000000000004 all give
50,20140331.0,2000.0,18.0,5.0,16.956 all give
51,20150730.0,2630.0,19.5,3.0,9.017999999999999 all give
52,20161231.0,2200.0,10.5,3.0,3.88 all give
53,20160229.0,2950.0,19.0,3.0,7.92 all give
54,20150730.0,2760.0,20.0,3.0,5.568 all give
55,20160731.0,3000.0,18.5,3.0,2.636 all give
56,0.0,0.0,0.0,0.0,Group total give 49.934000000000005
57,0.0,0.0,0.0,0.0,Group total give 0
58,0.0,0.0,0.0,0.0,Group total give 0
59,0.0,0.0,0.0,0.0,Group total give 0
60,0.0,0.0,0.0,0.0,Group total give 0
61,0.0,0.0,0.0,0.0,Group total give 0
62,0.0,0.0,0.0,0.0,Group total give 0
63,0.0,0.0,0.0,0.0,Group total give 0
64,0.0,0.0,0.0,0.0,Group total give 0
65,0.0,0.0,0.0,0.0,Group total give 0
66,0.0,0.0,0.0,0.0,Group total give 0
67,0.0,0.0,0.0,0.0,Group total give 0
68,0.0,0.0,0.0,0.0,Group total give 0
69,0.0,0.0,0.0,0.0,Group total give 0
70,0.0,0.0,0.0,0.0,Group total give 0
71,0.0,0.0,0.0,0.0,Group total give 0
72,0.0,0.0,0.0,0.0,Group total give 0
73,0.0,0.0,0.0,0.0,Group total give 0
74,0.0,0.0,0.0,0.0,Group total give 0
75,0.0,0.0,0.0,0.0,Group total give 0
76,0.0,0.0,0.0,0.0,Group total give 0
77,0.0,0.0,0.0,0.0,Group total give 0
78,0.0,0.0,0.0,0.0,Group total give 0
79,0.0,0.0,0.0,0.0,Group total give 0
80,0.0,0.0,0.0,0.0,Group total give 0
81,0.0,0.0,0.0,0.0,Group total give 0
82,0.0,0.0,0.0,0.0,Group total give 0
83,0.0,0.0,0.0,0.0,Group total give 0
84,0.0,0.0,0.0,0.0,Group total give 0
85,0.0,0.0,0.0,0.0,Group total give 0
86,0.0,0.0,0.0,0.0,Group total give 0
87,0.0,0.0,0.0,0.0,Group total give 0
88,0.0,0.0,0.0,0.0,Group total give 0
89,0.0,0.0,0.0,0.0,Group total give 0
90,0.0,0.0,0.0,0.0,Group total give 0
91,0.0,0.0,0.0,0.0,Group total give 0
92,0.0,0.0,0.0,0.0,Group total give 0
93,0.0,0.0,0.0,0.0,Group total give 0
94,0.0,0.0,0.0,0.0,Group total give 0
95,0.0,0.0,0.0,0.0,Group total give 0
96,0.0,0.0,0.0,0.0,Group total give 0
97,0.0,0.0,0.0,0.0,Group total give 0
98,0.0,0.0,0.0,0.0,Group total give 0
99,0.0,0.0,0.0,0.0,Group total give 0
